Date,Product,Region,Units,amount,commission
2026-01-27,Mouse,South,47,1162.41,58.12050000000001
2025-03-31,Mouse,Central,45,191.42,9.571
2025-08-11,Charger,East,8,429.91,21.495500000000003
2025-12-10,Phone,West,56,110.05,5.5025
2025-10-01,Keyboard,East,77,1782.78,89.13900000000001
2025-11-09,Keyboard,North,85,1880.95,94.04750000000001
2025-08-27,Mouse,Central,31,1062.96,53.148
2025-07-29,Laptop,East,62,1429.32,71.466
2025-08-05,Tablet,East,73,1074.3,53.715
2025-08-27,Laptop,South,92,350.2,17.51
2025-08-02,Monitor,West,9,146.26,7.313
2026-01-01,Headphones,West,93,668.61,33.4305
2025-03-20,Monitor,South,52,210.37,10.518500000000001
2025-05-12,Tablet,Central,80,1419.87,70.9935
2025-04-16,Phone,North,90,1854.05,92.7025
2025-10-14,Tablet,East,68,1400.95,70.0475
2025-02-17,Headphones,North,58,1249.07,62.4535
2026-01-06,Keyboard,Central,90,1905.53,95.2765
2025-05-28,Tablet,North,66,1462.94,73.147
2025-09-17,Keyboard,North,21,332.34,16.617
2025-07-21,Charger,Central,18,1344.6,67.23
2025-08-05,Phone,Central,11,1834.42,91.721
2025-10-19,Keyboard,East,50,1788.32,89.416
2025-04-03,Headphones,North,1,1388.06,69.403
2025-07-15,Charger,East,51,147.63,7.3815
2025-06-20,Mouse,South,73,1967.29,98.3645
2025-07-22,Laptop,South,61,316.75,15.8375
2025-09-28,Charger,South,32,536.85,26.8425
2025-12-02,Tablet,Central,71,1624.37,81.2185
2026-01-08,Laptop,North,47,1233.41,61.670500000000004
2025-11-27,Monitor,East,15,1666.64,83.33200000000001
2026-02-13,Mouse,South,53,211.84,10.592
2025-03-06,Headphones,West,62,745.86,37.293
2025-07-04,Tablet,East,77,1029.29,51.4645
2025-11-08,Charger,South,73,1692.31,84.6155
2025-05-02,Laptop,South,36,825.29,41.2645
2025-03-03,Tablet,North,71,1543.97,77.19850000000001
2025-10-23,Keyboard,Central,81,78.08,3.904
2025-12-12,Phone,West,3,1057.55,52.8775
2025-09-07,Tablet,Central,16,219.41,10.970500000000001
2025-05-28,Charger,South,69,397.05,19.852500000000003
2025-06-11,Tablet,Central,14,1385.62,69.28099999999999
2026-01-16,Phone,North,38,1841.64,92.08200000000001
2025-04-26,Phone,West,98,482.87,24.143500000000003
2025-07-06,Tablet,Central,34,1347.04,67.352
2025-11-25,Mouse,West,38,865.25,43.2625
2025-04-03,Laptop,South,96,31.65,1.5825
2025-09-15,Monitor,North,8,1993.37,99.6685
2025-02-19,Tablet,West,93,777.36,38.868
2025-04-23,Mouse,West,76,1201.44,60.072
2026-01-19,Laptop,South,15,1808.07,90.40350000000001
2025-10-16,Phone,East,20,526.08,26.304000000000002
2025-11-19,Tablet,West,16,78.11,3.9055
2025-05-20,Mouse,East,89,805.61,40.2805
2025-03-17,Laptop,East,92,1942.49,97.12450000000001
2025-03-18,Phone,East,70,1283.1,64.155
2025-04-13,Phone,South,75,1399.39,69.96950000000001
2025-12-27,Headphones,West,42,1554.29,77.7145
2026-01-02,Monitor,South,41,601.18,30.058999999999997
2025-10-07,Phone,West,1,292.47,14.623500000000002
2025-10-25,Phone,South,84,1621.83,81.0915
2025-10-06,Monitor,West,86,110.92,5.546
2025-07-25,Mouse,East,92,546.27,27.3135
2026-01-07,Laptop,West,79,1399.42,69.971
2025-08-21,Phone,North,88,1511.37,75.5685
2025-12-10,Charger,West,22,220.2,11.01
2025-05-22,Mouse,West,4,186.32,9.316
2025-10-21,Laptop,North,17,16.65,0.8325
2025-06-17,Monitor,Central,14,544.74,27.237000000000002
2025-05-08,Mouse,South,34,1318.65,65.9325
2025-02-26,Keyboard,Central,38,551.36,27.568
2025-02-20,Laptop,East,70,963.4,48.17
2025-04-20,Laptop,Central,30,158.84,7.942
2026-02-11,Headphones,Central,18,1891.43,94.57150000000001
2026-01-04,Tablet,North,16,26.86,1.343
2025-12-02,Tablet,West,89,1146.47,57.3235
2025-04-23,Keyboard,South,76,1940.63,97.03150000000001
2025-11-17,Charger,Central,26,1406.15,70.3075
2025-06-16,Charger,East,43,155.46,7.773000000000001
2025-12-11,Mouse,East,93,586.07,29.303500000000003
2025-05-29,Phone,West,81,1080.91,54.045500000000004
2025-02-18,Laptop,North,15,1024.41,51.22050000000001
2025-07-25,Headphones,East,63,1320.87,66.0435
2025-05-30,Mouse,South,45,234.32,11.716000000000001
2025-11-09,Mouse,West,74,1018.65,50.932500000000005
2025-04-27,Mouse,North,53,696.88,34.844
2025-08-27,Laptop,North,51,674.74,33.737
2026-02-13,Mouse,Central,39,323.02,16.151
2025-10-07,Charger,Central,41,912.38,45.619
2025-06-26,Laptop,North,6,940.61,47.0305
2025-04-24,Laptop,Central,35,1746.37,87.3185
2025-10-08,Keyboard,North,63,674.11,33.7055
2025-08-29,Headphones,West,94,810.31,40.5155
2025-04-29,Mouse,East,17,348.22,17.411
