Date,Product,Region,Units,amount,commission
2025-08-31,Mouse,West,15,599.75,29.9875
2025-03-31,Charger,North,89,1401.51,70.0755
2025-09-20,Mouse,Central,80,137.63,6.8815
2025-06-27,Headphones,East,78,1820.01,91.0005
2025-06-19,Phone,East,58,121.2,6.0600000000000005
2025-04-26,Phone,East,42,801.24,40.062000000000005
2025-10-09,Phone,East,47,1263.51,63.1755
2025-09-03,Keyboard,East,50,1034.07,51.7035
2025-08-18,Headphones,North,69,540.45,27.022500000000004
2025-06-06,Tablet,South,46,135.83,6.791500000000001
2025-06-29,Headphones,Central,41,370.1,18.505000000000003
2025-06-03,Monitor,Central,58,872.94,43.647000000000006
2025-09-19,Keyboard,North,66,564.31,28.2155
2025-11-15,Monitor,North,48,542.29,27.1145
2026-02-17,Charger,South,56,1414.99,70.7495
2025-10-11,Phone,Central,38,265.85,13.292500000000002
2025-07-28,Charger,South,27,1964.02,98.20100000000001
2025-04-02,Keyboard,North,39,921.85,46.0925
2025-03-14,Mouse,South,6,1167.4,58.370000000000005
2025-08-20,Laptop,East,99,250.0,12.5
2025-10-06,Laptop,South,19,1261.03,63.051500000000004
2025-08-12,Charger,East,94,612.41,30.6205
2025-09-20,Monitor,South,53,395.06,19.753
