TransactionID,Type,Amount,Currency,Status
0f3ff540,Adjustment,2086.2,USD,Completed
37f6132e,Debit,3798.37,USD,Completed
476e0c06,Debit,5919.96,USD,Completed
55307459,Credit,2601.97,USD,Completed
3b43c03b,Transfer,4725.28,USD,Completed
2cd34004,Transfer,3758.56,USD,Completed
2548cf7e,Credit,2357.85,USD,Completed
d96fc066,Transfer,5758.31,USD,Completed
d8ec6da4,Transfer,2405.58,USD,Completed
210e533e,Adjustment,2005.15,USD,Completed
f808123d,Credit,222.95,USD,Completed
281e04d2,Transfer,7846.2,USD,Completed
9626cb80,Debit,5310.6,USD,Completed
3cc671ba,Credit,2749.17,USD,Completed
eadfe332,Credit,6806.68,USD,Completed
791fc8c5,Adjustment,1958.04,USD,Completed
90144614,Debit,4835.07,USD,Completed
69ce43e8,Debit,4030.4,USD,Completed
2550babd,Debit,2777.72,USD,Completed
23fe8b40,Credit,5002.7,USD,Completed
2c5e6d3a,Credit,5727.43,USD,Completed
