Date,Product,Region,Units,amount,commission
2025-10-31,Keyboard,East,89,46.49,2.3245
2025-10-18,Headphones,Central,32,649.58,32.479000000000006
2025-02-25,Keyboard,South,85,380.85,19.0425
2025-04-22,Keyboard,Central,31,366.78,18.339
2025-07-27,Mouse,South,12,1345.43,67.2715
2025-02-23,Mouse,West,17,486.98,24.349000000000004
2025-12-01,Monitor,South,1,1150.08,57.504
2025-03-04,Mouse,East,43,305.74,15.287
2025-03-19,Headphones,East,41,1406.58,70.329
2025-06-04,Tablet,Central,27,352.94,17.647000000000002
2025-12-05,Charger,East,95,623.83,31.191500000000005
2025-10-17,Phone,North,1,1093.6,54.68
2025-05-23,Keyboard,East,64,1003.52,50.176
2025-07-26,Keyboard,South,58,260.97,13.048500000000002
2025-06-12,Laptop,Central,75,677.12,33.856
2025-09-30,Keyboard,East,29,1836.32,91.816
2025-02-26,Tablet,East,87,1135.26,56.763000000000005
2025-04-22,Keyboard,North,94,988.17,49.408500000000004
2025-02-17,Mouse,East,29,1371.99,68.5995
2025-05-26,Phone,East,88,711.46,35.573
2026-01-16,Headphones,East,3,707.01,35.350500000000004
2025-11-04,Mouse,East,26,1915.16,95.75800000000001
2025-11-20,Charger,North,24,642.44,32.12200000000001
2025-10-27,Headphones,Central,64,462.36,23.118000000000002
2025-04-15,Keyboard,South,5,797.11,39.855500000000006
2025-09-09,Headphones,West,12,858.18,42.909
2025-04-12,Phone,Central,24,428.31,21.4155
2026-01-25,Mouse,West,31,406.11,20.305500000000002
2025-06-21,Tablet,Central,66,1278.04,63.902
2026-01-22,Charger,Central,37,1289.22,64.461
2025-09-16,Monitor,North,55,1103.12,55.156
2025-02-24,Monitor,South,74,1200.42,60.02100000000001
2025-12-22,Keyboard,South,82,468.99,23.4495
2025-09-04,Keyboard,North,77,1677.43,83.87150000000001
2025-12-08,Mouse,West,57,1962.45,98.1225
2025-08-09,Charger,West,94,690.38,34.519
2025-10-29,Monitor,South,15,780.29,39.0145
2025-08-19,Tablet,West,32,1709.9,85.495
2025-10-17,Laptop,East,78,307.0,15.350000000000001
2025-06-19,Monitor,Central,43,1510.15,75.50750000000001
2025-07-17,Monitor,Central,52,1753.37,87.6685
2026-01-22,Monitor,South,79,469.02,23.451
2025-02-25,Charger,Central,8,1460.67,73.0335
2025-10-31,Headphones,Central,55,1591.28,79.56400000000001
2025-11-25,Charger,North,95,536.41,26.8205
2025-09-30,Laptop,East,66,1377.66,68.88300000000001
2025-10-08,Mouse,North,98,1006.99,50.349500000000006
2025-11-19,Charger,Central,24,1079.52,53.976
2025-04-05,Keyboard,East,42,1262.09,63.1045
2026-02-05,Monitor,North,22,1256.68,62.834
2026-01-06,Laptop,Central,49,1363.25,68.16250000000001
2025-11-12,Keyboard,North,36,14.64,0.7320000000000001
2025-03-18,Phone,West,20,1650.11,82.5055
