ItemID,Category,StockLevel,ReorderPoint,Price
ITEM-100,Electronics,267,40,222.4
ITEM-101,Furniture,445,34,496.68
ITEM-104,Appliances,496,32,421.77
ITEM-108,Electronics,157,32,485.02
ITEM-110,Electronics,97,38,399.79
ITEM-111,Electronics,281,22,282.88
ITEM-112,Stationery,460,39,494.75
ITEM-113,Accessories,362,20,329.46
ITEM-114,Stationery,18,36,415.92
ITEM-119,Appliances,474,28,206.23
ITEM-121,Accessories,451,16,419.21
ITEM-122,Furniture,494,29,361.04
ITEM-123,Electronics,295,48,417.6
ITEM-124,Furniture,280,28,473.21
ITEM-125,Stationery,500,18,228.41
ITEM-130,Furniture,313,31,279.95
ITEM-131,Stationery,114,15,410.2
ITEM-132,Accessories,225,35,423.61
ITEM-133,Accessories,485,23,474.12
ITEM-134,Stationery,442,30,254.56
ITEM-135,Furniture,452,16,253.1
ITEM-136,Furniture,234,25,371.72
ITEM-139,Electronics,340,15,423.44
ITEM-140,Appliances,161,47,456.8
ITEM-142,Furniture,194,39,366.07
ITEM-144,Electronics,484,17,259.97
ITEM-145,Furniture,67,12,468.31
ITEM-146,Appliances,257,16,329.92
ITEM-147,Stationery,365,12,393.01
ITEM-148,Furniture,166,40,380.8
ITEM-149,Appliances,277,41,482.6
ITEM-150,Electronics,11,41,323.62
ITEM-151,Stationery,425,11,441.14
ITEM-152,Furniture,341,35,338.22
ITEM-154,Stationery,257,15,312.15
ITEM-156,Stationery,106,50,301.07
ITEM-158,Electronics,195,15,398.33
