ItemID,Category,StockLevel,ReorderPoint,Price,InventoryValue
ITEM-100,Accessories,84,20,99.5,8358.0
ITEM-101,Electronics,170,25,337.43,57363.1
ITEM-102,Stationery,307,14,478.51,146902.57
ITEM-103,Appliances,447,35,163.33,73008.51000000001
ITEM-104,Furniture,364,32,100.51,36585.64
ITEM-105,Appliances,151,48,385.66,58234.66
ITEM-106,Furniture,283,29,490.51,138814.33
ITEM-107,Furniture,76,47,413.48,31424.480000000003
ITEM-108,Appliances,141,24,233.09,32865.69
ITEM-109,Stationery,66,46,425.76,28100.16
ITEM-110,Electronics,4,24,127.89,511.56
ITEM-111,Electronics,83,11,273.53,22702.989999999998
ITEM-112,Accessories,343,10,46.58,15976.939999999999
ITEM-113,Appliances,68,10,148.41,10091.88
ITEM-114,Electronics,240,22,353.57,84856.8
ITEM-115,Stationery,488,50,248.75,121390.0
ITEM-116,Accessories,68,33,21.45,1458.6
ITEM-117,Appliances,419,12,20.68,8664.92
ITEM-118,Electronics,300,40,95.35,28605.0
ITEM-119,Appliances,360,46,104.1,37476.0
ITEM-120,Electronics,483,36,54.41,26280.03
ITEM-121,Stationery,159,22,141.94,22568.46
ITEM-122,Accessories,458,48,247.1,113171.8
ITEM-123,Stationery,393,26,457.16,179663.88
ITEM-124,Electronics,33,26,176.42,5821.86
ITEM-125,Electronics,432,29,263.5,113832.0
ITEM-126,Furniture,245,37,251.08,61514.600000000006
ITEM-127,Accessories,43,50,37.61,1617.23
ITEM-128,Appliances,86,25,96.81,8325.66
ITEM-129,Accessories,85,40,17.37,1476.45
