ItemID,Category,StockLevel,ReorderPoint,Price,InventoryValue
ITEM-100,Stationery,116,12,285.31,33095.96
ITEM-101,Electronics,153,49,342.76,52442.28
ITEM-102,Electronics,148,38,195.31,28905.88
ITEM-103,Appliances,344,32,138.99,47812.560000000005
ITEM-104,Furniture,497,31,468.19,232690.43
ITEM-105,Stationery,220,12,494.89,108875.8
ITEM-106,Accessories,474,28,219.91,104237.34
ITEM-107,Furniture,43,26,168.02,7224.860000000001
ITEM-108,Furniture,427,29,487.96,208358.91999999998
ITEM-109,Furniture,294,47,356.1,104693.40000000001
ITEM-110,Furniture,65,43,245.82,15978.3
ITEM-111,Appliances,188,21,372.17,69967.96
ITEM-112,Accessories,15,34,213.95,3209.25
ITEM-113,Appliances,230,19,284.96,65540.79999999999
ITEM-114,Stationery,460,15,48.06,22107.600000000002
ITEM-115,Furniture,321,38,333.82,107156.22
ITEM-116,Electronics,182,31,340.38,61949.159999999996
ITEM-117,Electronics,81,25,141.98,11500.38
ITEM-118,Appliances,445,33,213.15,94851.75
ITEM-119,Accessories,112,11,487.24,54570.880000000005
ITEM-120,Electronics,197,36,223.71,44070.87
ITEM-121,Electronics,88,10,393.63,34639.44
ITEM-122,Stationery,167,13,21.01,3508.67
ITEM-123,Stationery,398,15,463.88,184624.24
ITEM-124,Furniture,165,26,199.85,32975.25
ITEM-125,Stationery,268,12,143.44,38441.92
ITEM-126,Stationery,440,24,195.61,86068.40000000001
ITEM-127,Electronics,88,31,281.43,24765.84
ITEM-128,Electronics,248,32,379.1,94016.8
ITEM-129,Stationery,11,35,413.34,4546.74
ITEM-130,Stationery,355,39,168.52,59824.600000000006
ITEM-131,Stationery,286,33,248.22,70990.92
ITEM-132,Electronics,412,49,371.64,153115.68
ITEM-133,Accessories,457,34,480.93,219785.01
ITEM-134,Appliances,384,48,101.17,38849.28
ITEM-135,Accessories,246,21,405.27,99696.42
ITEM-136,Accessories,110,40,423.88,46626.8
ITEM-137,Electronics,422,22,341.37,144058.14
ITEM-138,Furniture,418,10,449.91,188062.38
ITEM-139,Electronics,467,29,312.18,145788.06
ITEM-140,Stationery,268,11,227.63,61004.84
ITEM-141,Appliances,250,50,261.16,65290.00000000001
ITEM-142,Electronics,402,46,457.58,183947.16
ITEM-143,Appliances,310,14,5.31,1646.1
ITEM-144,Accessories,486,37,281.11,136619.46000000002
ITEM-145,Furniture,18,13,122.7,2208.6
ITEM-146,Electronics,411,14,187.53,77074.83
ITEM-147,Accessories,157,26,259.65,40765.049999999996
ITEM-148,Appliances,465,36,402.09,186971.84999999998
ITEM-149,Stationery,366,12,234.8,85936.8
ITEM-150,Electronics,401,27,233.28,93545.28
ITEM-151,Stationery,470,32,443.98,208670.6
ITEM-152,Accessories,255,11,312.54,79697.70000000001
ITEM-153,Appliances,131,25,276.77,36256.869999999995
ITEM-154,Accessories,35,42,361.2,12642.0
ITEM-155,Accessories,36,17,219.67,7908.12
ITEM-156,Stationery,224,42,27.15,6081.599999999999
ITEM-157,Stationery,81,39,50.2,4066.2000000000003
ITEM-158,Furniture,17,33,208.29,3540.93
ITEM-159,Electronics,365,32,477.99,174466.35
ITEM-160,Accessories,74,31,404.59,29939.66
ITEM-161,Appliances,478,47,5.61,2681.58
ITEM-162,Appliances,56,50,160.87,9008.720000000001
ITEM-163,Furniture,226,24,231.15,52239.9
ITEM-164,Accessories,402,26,269.3,108258.6
ITEM-165,Stationery,385,42,374.09,144024.65
ITEM-166,Electronics,337,12,148.8,50145.600000000006
ITEM-167,Accessories,64,26,262.55,16803.2
ITEM-168,Furniture,500,16,33.42,16710.0
ITEM-169,Appliances,358,23,153.74,55038.920000000006
ITEM-170,Electronics,108,30,42.58,4598.639999999999
ITEM-171,Electronics,379,39,362.9,137539.1
ITEM-172,Stationery,203,27,31.88,6471.639999999999
ITEM-173,Electronics,143,36,103.86,14851.98
ITEM-174,Electronics,224,49,232.36,52048.64
