TransactionID,Type,Amount,Currency,Status
472e92bf,Transfer,8463.75,USD,Pending
96d13422,Debit,230.21,USD,Pending
12c04bfe,Credit,914.11,USD,Pending
23aca704,Debit,511.77,USD,Pending
1d455c06,Transfer,8245.4,USD,Pending
72d05975,Transfer,9993.92,USD,Pending
70798840,Credit,3532.87,USD,Pending
65a7b92c,Adjustment,6978.98,USD,Pending
be558122,Debit,326.28,USD,Pending
d9f03d3c,Credit,9032.81,USD,Pending
9dedbba6,Transfer,5085.86,USD,Pending
bcdcc204,Credit,5038.67,USD,Pending
9058d842,Adjustment,4937.51,USD,Pending
e265fb59,Debit,4911.53,USD,Pending
c674c15a,Adjustment,947.9,USD,Pending
80dd2f62,Credit,8546.25,USD,Pending
c73051c1,Adjustment,6504.79,USD,Pending
8f182aaf,Transfer,3274.95,USD,Pending
2ae4fafd,Adjustment,3211.02,USD,Pending
c4e8d241,Adjustment,7834.01,USD,Pending
82f4275c,Transfer,3608.92,USD,Pending
3abd6b83,Debit,1723.21,USD,Pending
