Date,Product,Region,Units,amount,commission
2026-01-19,Headphones,East,84,176.17,8.8085
2026-01-06,Phone,South,33,136.66,6.833
2025-12-31,Phone,West,5,317.4,15.87
2025-08-31,Laptop,West,65,571.95,28.597500000000004
2025-12-09,Keyboard,West,70,913.23,45.661500000000004
2025-08-04,Headphones,Central,84,1424.05,71.2025
2025-07-22,Laptop,North,76,1660.07,83.0035
2025-08-08,Laptop,West,19,1275.28,63.764
2025-03-11,Laptop,East,46,1023.97,51.1985
2025-09-20,Phone,West,34,156.77,7.838500000000001
2025-12-15,Tablet,East,75,1563.69,78.18450000000001
2025-11-03,Keyboard,South,60,1553.33,77.6665
2025-11-12,Mouse,Central,96,1483.73,74.18650000000001
2025-06-17,Keyboard,Central,94,1744.16,87.20800000000001
2025-07-15,Laptop,Central,13,1400.62,70.03099999999999
2025-10-15,Laptop,North,49,1185.61,59.280499999999996
2025-08-08,Mouse,North,44,1743.23,87.1615
2025-03-06,Mouse,West,20,1012.29,50.6145
2025-04-23,Tablet,Central,98,941.24,47.062000000000005
2025-08-24,Phone,East,19,1411.2,70.56
2025-09-29,Charger,West,45,684.44,34.222
2025-12-16,Mouse,West,84,1202.57,60.1285
2025-05-27,Tablet,East,55,1623.67,81.18350000000001
2025-02-19,Mouse,East,14,624.04,31.201999999999998
2025-05-12,Keyboard,Central,13,1451.39,72.5695
2025-07-21,Keyboard,East,2,690.41,34.5205
2025-10-08,Headphones,South,27,1974.85,98.7425
2025-09-15,Mouse,South,6,160.49,8.024500000000002
2025-02-17,Keyboard,East,5,1658.73,82.93650000000001
2025-11-14,Phone,East,7,958.87,47.9435
2025-04-18,Laptop,North,24,1689.06,84.453
2025-11-02,Phone,East,20,1941.54,97.077
2025-04-12,Headphones,North,12,636.84,31.842000000000002
2025-10-22,Laptop,West,10,966.41,48.3205
2026-01-17,Mouse,Central,62,631.92,31.596
2025-08-06,Mouse,Central,37,624.85,31.242500000000003
2026-01-15,Monitor,West,100,400.58,20.029
2025-05-24,Keyboard,North,29,14.17,0.7085
2025-10-10,Keyboard,South,33,120.58,6.029
2025-12-26,Mouse,North,87,1579.12,78.956
2025-10-22,Monitor,North,51,735.37,36.7685
2025-12-06,Headphones,South,35,593.91,29.6955
2025-08-31,Mouse,Central,96,1166.41,58.32050000000001
2025-08-30,Mouse,West,65,438.56,21.928
2025-02-26,Charger,Central,49,1557.36,77.868
2025-08-06,Mouse,Central,41,611.05,30.5525
2025-06-06,Monitor,West,12,1162.25,58.112500000000004
2025-10-14,Charger,West,50,1822.69,91.1345
2025-04-21,Monitor,North,31,1043.35,52.1675
2025-04-06,Headphones,Central,30,407.02,20.351
2025-09-16,Charger,East,78,495.96,24.798000000000002
2025-08-16,Keyboard,West,29,1970.9,98.54500000000002
2026-01-23,Headphones,North,21,474.51,23.7255
2025-12-13,Mouse,Central,64,320.44,16.022000000000002
2025-12-14,Headphones,West,23,177.22,8.861
2025-05-21,Headphones,Central,71,1060.19,53.0095
2025-08-17,Laptop,North,93,1715.27,85.76350000000001
2025-04-17,Headphones,North,34,1296.18,64.80900000000001
2025-10-01,Charger,East,76,973.64,48.682
2025-12-10,Mouse,North,100,1746.6,87.33
2025-08-30,Mouse,West,4,830.39,41.5195
2025-03-29,Charger,South,98,777.88,38.894000000000005
2025-05-26,Monitor,Central,93,1753.7,87.685
2025-03-29,Phone,South,83,1085.24,54.262
2025-10-24,Keyboard,South,39,1543.77,77.1885
2025-05-01,Charger,East,82,1812.12,90.606
2025-04-23,Tablet,West,15,942.42,47.121
2026-01-15,Phone,West,22,156.98,7.849
2025-07-22,Tablet,East,95,802.1,40.105000000000004
2025-12-09,Monitor,South,25,1254.74,62.737
2025-10-28,Monitor,North,10,1757.45,87.8725
2025-07-09,Headphones,North,57,1831.36,91.568
2025-10-28,Tablet,West,60,55.93,2.7965
2025-06-02,Mouse,Central,35,1229.99,61.499500000000005
2025-02-18,Mouse,East,23,1459.06,72.953
2025-06-02,Keyboard,South,64,1107.61,55.3805
2025-03-23,Mouse,West,61,956.84,47.842000000000006
2025-07-12,Tablet,West,19,1181.78,59.089
2025-03-19,Mouse,South,48,1269.93,63.496500000000005
2025-05-14,Charger,West,16,762.65,38.1325
2025-10-04,Charger,North,48,403.17,20.158500000000004
2025-10-14,Headphones,North,29,1626.03,81.3015
2026-01-21,Laptop,South,38,1515.45,75.77250000000001
2025-10-17,Keyboard,West,64,687.42,34.371
2025-09-15,Laptop,North,94,922.47,46.12350000000001
2025-09-21,Monitor,North,59,1700.87,85.0435
2025-08-25,Laptop,North,33,1706.0,85.30000000000001
2025-06-01,Phone,North,84,1980.57,99.02850000000001
2025-04-05,Laptop,West,58,1936.44,96.822
